id,source_item_idx,scene_id,task_type,sft_initial_score,sft_final_score,sft_n_steps,sft_n_actions,env_n_steps,env_sum_reward,env_final_total_score,env_final_pos_score,env_final_ori_score,env_best_score,env_traj_success,env_invalid_actions,env_near_success_steps,env_near_success_bonus,env_collisions,success_path,done_at_step
sft_000068,68,0267_840790,delta_control,0.415006,0.991168,5,20,6,-0.24148282086760514,0.41500596770262077,0.5509728564211246,0.0,0.6429986559657529,False,3,0,0.2353012638633658,0,none,6
sft_000069,69,0267_840790,delta_control,0.415006,0.991168,5,20,6,-0.24148282086760514,0.41500596770262077,0.5509728564211246,0.0,0.6429986559657529,False,3,0,0.2353012638633658,0,none,6
sft_000072,72,0267_840790,absolute_positioning,0.401841,0.996311,3,12,4,-0.23816123858276272,0.6158221990015403,0.5276623232459752,0.8973816312271155,0.6158221990015403,False,3,0,0.15058022336828983,0,none,4
sft_000073,73,0267_840790,absolute_positioning,0.401841,0.996366,3,13,4,0.03943311166554753,0.5489835043872959,0.8371493128794857,0.0036166712422037992,0.6158221990015402,False,2,0,0.241037397343094,0,none,-1
sft_000074,74,0267_840790,absolute_positioning,0.381594,0.987458,3,14,3,51.21773083694141,0.9874577512460507,0.9834825360659204,0.9935592838833762,0.9874577512460507,True,0,1,0.6136743384768136,0,auto_term,3
sft_000079,79,0267_840790,absolute_positioning,0.381594,0.995746,3,12,4,-0.2762319715525284,0.5852804903336242,0.49307858183629966,0.900872102576928,0.5852804903336242,False,3,0,0.12050089148005866,0,none,4
sft_000080,80,0267_840790,absolute_positioning,0.306239,0.99647,3,14,4,-0.3790699749701362,0.47257724602290224,0.37531109885139957,0.9038174956420958,0.47257724602290224,False,3,0,0.04664001818649035,0,none,4
sft_000082,82,0267_840790,absolute_positioning,0.306239,0.972332,5,20,5,51.31951134775596,0.9568228685235056,0.934932258245756,0.9927963956599547,0.9568228685235056,True,1,2,0.838978422302098,0,auto_term,5
sft_000084,84,0267_840790,absolute_positioning,0.306239,0.995283,3,12,3,51.2035597974493,0.9952828865015588,0.9923246126691393,0.9997679117974131,0.9952828865015588,True,0,1,0.5315283736392976,0,auto_term,3
sft_000086,86,0267_840790,absolute_positioning,0.306239,0.995179,3,14,3,51.20331550313462,0.9951786870321051,0.9921353159842459,0.9997939437247275,0.9951786870321051,True,0,1,0.5313553360506783,0,auto_term,3
sft_000087,87,0267_840790,absolute_positioning,0.306239,0.998585,5,22,6,-0.054118105002234074,0.597882455219519,0.9921353159842458,2.6578204156761873e-12,0.597882455219519,False,3,0,0.18858031493147892,0,none,-1
sft_000088,88,0267_840790,absolute_positioning,0.306239,0.997593,3,13,4,-0.25883022135027967,0.3076140333894784,0.3753110988513997,0.007471586533733429,0.4725300925921042,False,2,0,0.056310876952755454,0,none,-1
sft_000089,89,0267_840790,absolute_positioning,0.306239,0.956327,3,14,3,51.16160145566667,0.9563273949388315,0.9341597005531942,0.9927961773139078,0.9563273949388315,True,0,1,0.5204115119206035,0,auto_term,3
sft_000090,90,0267_840790,absolute_positioning,0.384309,0.996094,3,14,3,51.225583669304534,0.9960944053980649,0.9980823081789758,0.9931045923343295,0.9960944053980649,True,0,1,0.6168855739906386,0,auto_term,3
sft_000091,91,0267_840790,absolute_positioning,0.384309,0.964533,5,22,6,-0.05289539273628413,0.5863188368092419,0.8810314221858122,0.0631659730284536,0.5863188368092419,False,3,0,0.26294872691061494,0,none,-1
sft_000092,92,0267_840790,absolute_positioning,0.384309,0.994942,3,14,4,-0.2773132556795241,0.5859189283898597,0.4976322121483607,0.8853209153951778,0.5859189283898597,False,3,0,0.12108577182055516,0,none,4
sft_000095,95,0267_840790,absolute_positioning,0.384309,0.992571,5,19,6,-0.052895392736283964,0.5863188368092419,0.8810314221858127,0.06316597302845368,0.5863188368092419,False,3,0,0.2629487269106152,0,none,-1
sft_000097,97,0267_840790,absolute_positioning,0.384309,0.997477,3,12,4,-0.27731325567952364,0.58591892838986,0.49763221214836095,0.8853209153951778,0.58591892838986,False,3,0,0.12108577182055547,0,none,4
sft_000102,102,0267_840790,absolute_positioning,0.306239,0.994499,3,14,3,51.20249251945289,0.9944986550721839,0.9909092482981977,0.9999512715298962,0.9944986550721839,True,0,1,0.5310685531802262,0,auto_term,3
sft_000104,104,0267_840790,equidistance,0.001442,0.983503,4,20,5,-0.6222173744337027,0.16609577560100244,0.18814233218598944,2.1652885840424223e-05,0.16609577560100244,False,4,0,0.002388765902369118,0,none,5
